city,county,state,country,cases,deaths,recovered,tested,active,population,lat,long,url,aggregate,rating,tz,featureId
,,,AFG,110,4,,,,34124811,33.93013936,67.68954228,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Kabul,0
,,,ALB,197,10,,,,3047987,41.1124529,20.15435592,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Tirane,1
,,,DZA,454,29,,,,40969443,28.03233938,1.643237752,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Algiers,2
,,,AND,308,3,,,,85702,42.51501587,1.568151896,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Andorra,3
,,,AGO,5,0,,,,29310273,-11.21130422,17.89885628,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Luanda,4
,,,ATG,7,0,,,,94731,17.09865957,-61.78465736,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Antigua,5
,,,ARG,690,18,,,,44293293,-38.42173075,-63.62665422,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Argentina/Salta,6
,,,ARM,407,1,,,,3045191,40.07707682,45.01914311,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Yerevan,7
,,,AUT,8271,68,,,,8754413,47.71313528,13.33474634,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Vienna,8
,,,AZE,182,4,,,,9961396,40.14320974,47.50227482,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Baku,9
,,,BHS,10,0,,,,329988,23.9156315,-75.74170393,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Nassau,10
,,,BHR,476,4,,,,1410942,26.02440013,50.53386478,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Bahrain,11
,,,BGD,48,5,,,,157826578,23.73811778,90.33232039,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Dhaka,12
,,,BRB,26,0,,,,292336,13.18988679,-59.54055742,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Barbados,13
,,,BLR,94,0,,,,9549747,53.72384074,27.94258854,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Minsk,14
,,,BEL,9134,353,,,,11491346,50.49042053,4.429765747,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Brussels,15
,,,BEN,6,0,,,,11038805,9.306569115,2.303094116,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Porto-Novo,16
,,,BTN,3,0,,,,758288,27.51818048,90.40745793,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Thimphu,17
,,,BOL,74,0,,,,11138234,-16.28693756,-63.58694088,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/La_Paz,18
,,,BIH,258,5,,,,3856181,43.91899994,17.66809941,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Sarajevo,19
,,,BRA,3904,111,,,,207353391,-14.23672557,-54.38839291,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Cuiaba,20
,,,BRN,120,1,,,,443593,4.510995487,114.6615754,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Brunei,21
,,,BGR,331,7,,,,7101510,42.7339153,25.47427474,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Sofia,22
,,,BFA,207,11,,,,20107509,12.23080495,-1.56620459,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Ouagadougou,23
,,,CPV,5,1,,,,560899,16.0660668,-23.99946042,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Atlantic/Cape_Verde,24
,,,KHM,99,0,,,,16204486,12.5621227,104.9675769,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Phnom_Penh,25
,,,CMR,91,2,,,,24994885,7.407972718,12.35086043,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Douala,26
,,,CAF,3,0,,,,5625118,6.618641053,20.91950301,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Bangui,27
,,,TCD,3,0,,,,12075985,15.45135773,18.71679508,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Ndjamena,28
,,,CHL,1909,6,,,,17789267,-36.56706246,-71.36049374,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Santiago,29
,,Anhui,CHN,990,6,,,,63240000,32.02378205,117.2581712,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,30
,,Beijing,CHN,573,8,,,,21540000,40.23657532,116.4278085,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,31
,,Chongqing,CHN,578,6,,,,31020000,30.19871257,107.7329645,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,32
,,Fujian,CHN,337,1,,,,39410000,25.97115964,118.1322771,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,33
,,Gansu,CHN,136,2,,,,26370000,37.69770367,100.7380426,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,34
,,Guangdong,CHN,1467,8,,,,113460000,22.87678376,113.4179235,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,35
,,Guangxi,CHN,254,2,,,,49260000,23.89994925,108.2709678,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,36
,,Guizhou,CHN,146,2,,,,36000000,26.9387436,106.6012765,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,37
,,Hainan,CHN,168,6,,,,9340000,19.15076325,109.8128768,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,38
,,Hebei,CHN,319,6,,,,75560000,39.32382742,116.6520614,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,39
,,Heilongjiang,CHN,484,13,,,,37730000,48.50194977,127.9732532,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,40
,,Henan,CHN,1275,22,,,,96050000,33.87707978,113.4844222,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,41
,,,HKG,561,4,,,,7191503,22.41313304,114.2102157,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Hong_Kong,42
,,Hubei,CHN,67801,3177,,,,59170000,31.16640544,112.2639283,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,43
,,Hunan,CHN,1018,4,,,,68990000,27.36941498,111.5090906,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,44
,,Inner Mongolia,CHN,94,1,,,,25000034,45.35383135,111.6234722,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Ulaanbaatar,45
,,Jiangsu,CHN,641,0,,,,80510000,32.93481171,119.1496372,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,46
,,Jiangxi,CHN,936,1,,,,46480000,27.27513133,116.0191771,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,47
,,Jilin,CHN,97,1,,,,27040000,43.56576924,126.4736548,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,48
,,Liaoning,CHN,132,2,,,,43590000,41.09091391,122.3105502,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,49
,,,MAC,37,0,,,,601969,22.13420238,113.5505884,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Macau,50
,,Ningxia,CHN,75,0,,,,6880000,37.31081076,106.0080827,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,51
,,Qinghai,CHN,18,0,,,,6030000,35.43499502,96.23774885,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,52
,,Shaanxi,CHN,253,3,,,,38640000,35.63509909,108.3617117,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,53
,,Shandong,CHN,772,7,,,,100470000,36.33507594,118.7451542,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,54
,,Shanghai,CHN,485,5,,,,24240000,31.26615855,121.4315372,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,55
,,Shanxi,CHN,135,0,,,,37180000,37.66312775,112.3891919,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,56
,,Sichuan,CHN,548,3,,,,83410000,30.16521332,102.9396654,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,57
,,Tianjin,CHN,161,3,,,,15600000,39.40813752,117.3450864,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,58
,,Tibet,CHN,1,0,,,,3440000,31.88221487,88.74489831,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,59
,,Xinjiang,CHN,76,3,,,,24870000,41.7528991,84.9842981,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,"Asia/Urumqi,Asia/Shanghai",60
,,Yunnan,CHN,180,2,,,,48300000,25.17912273,101.8551058,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,61
,,Zhejiang,CHN,1251,1,,,,57370000,29.1890504,120.164136,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,62
,,,COL,608,6,,,,47698524,4.114416812,-72.93652033,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Bogota,63
,,,COG,4,0,,,,4954674,-0.655677387,14.87020174,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Brazzaville,64
,,,COD,65,6,,,,83301151,-4.029468689,21.72668379,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Lubumbashi,65
,,,CRI,295,2,,,,4930258,9.61548248,-84.21760006,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Costa_Rica,66
,,,CIV,101,0,,,,24184810,7.533667911,-5.536220662,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Abidjan,67
,,,HRV,657,5,,,,4292095,44.48165314,16.33771102,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Sarajevo,68
,,,CUB,119,3,,,,11147407,21.52810293,-79.28561357,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Havana,69
,,,CYP,179,5,,,,1221549,34.91075334,33.1971429,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Nicosia,70
,,,CZE,2631,11,,,,10674723,49.80312398,15.54003809,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Prague,71
,,,FRO,155,0,,,,50730,62.08268871,-6.969105598,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Atlantic/Faroe,72
,,Greenland,DNK,10,0,,,,,77.31684744,-36.7446107,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,America/Godthab,73
,,,DNK,2201,65,,,,5605948,56.1098697,11.62891686,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Copenhagen,74
,,,DJI,14,0,,,,865267,11.83929383,42.58024886,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Djibouti,75
,,,DOM,719,28,,,,10734247,18.77124665,-70.13417985,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Santo_Domingo,76
,,,ECU,1823,48,,,,16290913,-1.763467098,-83.45785386,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Etc/GMT+6,77
,,,EGY,576,36,,,,97041072,26.82542471,30.79186275,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Cairo,78
,,,SLV,19,0,,,,6172011,13.7870573,-88.90583472,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/El_Salvador,79
,,,GNQ,12,0,,,,778358,2.379642824,9.893273556,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Douala,80
,,,ERI,6,0,,,,5918919,15.18242503,39.77066674,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Asmara,81
,,,EST,645,1,,,,1251581,58.57223338,24.94345137,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Tallinn,82
,,,SWZ,9,0,,,,1467152,-26.52995575,31.45154749,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Mbabane,83
,,,ETH,16,0,,,,105350020,9.170952963,40.4844845,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Addis_Ababa,84
,,,FJI,5,0,,,,920938,-17.19878972,178.6258191,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Pacific/Fiji,85
,,,FIN,1167,9,,,,5491218,64.98666352,26.09634465,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Helsinki,86
,,French Guiana,FRA,28,0,,,,,3.92765705,-53.13299882,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,America/Cayenne,87
,,French Polynesia,FRA,30,0,,,,,-17.6797,149.4068,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,,
,,New Caledonia,FRA,15,0,,,,,-20.9043,165.618,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,,
,,Reunion,FRA,183,0,,,,,-21.1351,55.2471,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,,
,,Saint Barthelemy,FRA,5,0,,,,9793,17.90350983,-62.82453366,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,America/St_Barthelemy,88
,,St Martin,FRA,11,0,,,,,18.07776462,-63.06228647,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,America/Marigot,89
,,,GAB,7,1,,,,1772255,-0.813640141,11.64964705,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Libreville,90
,,,GMB,3,1,,,,2051363,13.44249665,-15.34036872,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Banjul,91
,,,GEO,90,0,,,,4926330,42.31029968,43.34038973,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Tbilisi,92
,,,DEU,57695,433,,,,80594017,51.0992448,10.47375818,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Berlin,93
,,,GHA,141,5,,,,27499924,7.936054182,-1.038557295,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Accra,94
,,,GRC,1061,32,,,,10768477,38.32233155,24.11980228,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Athens,95
,,,GTM,34,1,,,,15460732,15.7733759,-90.23359658,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Guatemala,96
,,,GIN,8,0,,,,12413867,9.955672506,-11.35628923,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Freetown,97
,,,GUY,8,1,,,,737718,4.88790904,-58.93071346,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Guyana,98
,,,HTI,8,0,,,,10646714,18.99158356,-73.06413835,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Port-au-Prince,99
,,,VAT,6,0,,,,1000,41.90333334,12.45353333,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Vatican,100
,,,HND,95,1,,,,9038741,14.48474763,-86.24603266,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Tegucigalpa,101
,,,HUN,343,11,,,,9850845,47.15612793,19.48581791,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Budapest,102
,,,ISL,963,2,,,,339747,64.96666087,-18.86182614,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Atlantic/Reykjavik,103
,,,IND,987,24,,,,1281935911,21.15185028,82.74863427,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Kolkata,104
,,,IDN,1155,102,,,,260580739,-2.635756117,118.0872191,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Makassar,105
,,,IRN,35408,2517,,,,82021564,32.41265122,53.66311161,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Tehran,106
,,,IRQ,506,42,,,,39192111,33.21901998,43.65276391,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Baghdad,107
,,,IRL,2415,36,,,,5011102,53.46108633,-8.136179165,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Dublin,108
,,,ISR,3619,12,,,,8299706,31.44838969,35.0682117,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Hebron,109
,,,JAM,30,1,,,,2990561,18.11774323,-77.30223548,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Jamaica,110
,,,JPN,1693,52,,,,126451398,37.87307292,137.6597852,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Tokyo,111
,,,JOR,246,1,,,,10248069,31.28081787,37.04788004,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Amman,112
,,,KAZ,228,1,,,,18556698,47.96872691,66.9015542,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Almaty,113
,,,KEN,38,1,,,,47615739,0.152107845,37.88929407,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Nairobi,114
,,,KOR,9478,144,,,,51181299,35.91235993,127.8569849,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Seoul,115
,,,KWT,235,0,,,,2875422,29.31586029,47.48260849,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Kuwait,116
,,,KGZ,58,0,,,,5789122,41.25042898,74.71831222,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Bishkek,117
,,,LVA,305,0,,,,1944643,56.86286102,24.59194014,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Riga,118
,,,LBN,412,8,,,,6229794,33.86861807,35.85466821,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Beirut,119
,,,LBR,3,0,,,,4689021,6.41994936,-9.434906172,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Monrovia,120
,,,LIE,56,0,,,,38244,47.15983571,9.533092082,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Vaduz,121
,,,LTU,394,7,,,,2823859,55.16278392,23.91101261,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Vilnius,122
,,,LUX,1831,18,,,,594130,49.8034728,6.107513062,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Luxembourg,123
,,,MDG,26,0,,,,25054161,-18.79212819,46.86341393,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Indian/Antananarivo,124
,,,MYS,2320,27,,,,31381992,3.930906884,109.6971949,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Etc/GMT-7,125
,,,MDV,16,0,,,,392709,4.213175577,73.52910604,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Indian/Maldives,126
,,,MLT,149,0,,,,416338,35.88346996,14.44532311,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Malta,127
,,,MRT,5,0,,,,19245344,17.60656209,8.053466634,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Niamey,128
,,,MUS,102,2,,,,1356388,-20.25571054,57.57675215,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Indian/Mauritius,129
,,,MEX,717,12,,,,124574795,23.62955794,-101.933344,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Mexico_City,130
,,,MDA,231,2,,,,3474121,46.9670697,28.28525496,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Chisinau,131
,,,MCO,42,0,,,,30645,43.74311792,7.40160212,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Paris,132
,,,MNG,12,0,,,,3068243,46.85141785,103.855035,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Ulaanbaatar,133
,,,MNE,84,1,,,,642550,42.69257925,19.39135339,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Podgorica,134
,,,MAR,402,25,,,,33986655,28.67223748,-9.030622863,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Casablanca,135
,,,NAM,8,0,,,,2484780,-22.95521271,18.48870101,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Windhoek,136
,,,NPL,5,0,,,,29384297,28.38379832,84.10272648,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Kathmandu,137
,,Aruba,NLD,46,0,,,,,12.5186,-70.0358,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,,
,,Curacao,NLD,8,1,,,,,12.19135163,-68.97252357,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,America/Curacao,138
,,Sint Maarten,NLD,3,0,,,,,18.04775567,-63.06228647,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,America/Lower_Princes,139
,,,NLD,9762,639,,,,17084719,52.1052827,5.272002683,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Amsterdam,140
,,,NZL,451,0,,,,4510327,-40.87806569,172.5168563,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Pacific/Auckland,141
,,,NIC,4,1,,,,6025951,12.87451243,-85.38847946,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Managua,142
,,,NER,10,1,,,,19245344,17.60656209,8.053466634,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Niamey,128
,,,NGA,89,1,,,,190632261,9.075780745,8.671077515,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Lagos,143
,,,MKD,241,4,,,,2103721,41.59124797,21.72686975,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Skopje,144
,,,NOR,4015,23,,,,5320045,69.25525544,18.01372318,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Oslo,145
,,,OMN,152,0,,,,3424386,21.44419994,55.91159468,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Muscat,146
,,,PAK,1495,12,,,,204924861,30.37775055,68.94667485,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Karachi,147
,,,PAN,786,14,,,,3753142,8.420921827,-80.07274339,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Panama,148
,,,PNG,1,0,,,,6909701,-6.775160414,148.3913263,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Etc/GMT-10,149
,,,PRY,56,3,,,,6943739,-23.43368479,-58.44782304,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Asuncion,150
,,,PER,671,16,,,,31036656,-9.190602483,-75.01090501,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Lima,151
,,,PHL,1075,68,,,,104256076,12.10826244,121.9371851,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Manila,152
,,,POL,1638,18,,,,38476269,51.934829,19.12547815,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Warsaw,153
,,,PRT,5170,100,,,,10839514,37.40041626,-15.94334103,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Etc/GMT+1,154
,,,QAT,590,1,,,,2314307,25.36391398,51.18376712,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Qatar,155
,,,ROU,1452,37,,,,21529967,45.9566275,24.95092675,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Bucharest,156
,,,RUS,1264,4,,,,142257519,61.2407425,4.26E-14,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Etc/GMT,157
,,,RWA,60,0,,,,11901484,-1.943601176,29.8733234,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Kigali,158
,,,LCA,3,0,,,,164994,13.86609528,-60.98135332,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/St_Lucia,159
,,,VCT,1,0,,,,102089,13.25747305,-61.19764157,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/St_Vincent,160
,,,SMR,224,22,,,,33537,43.9296372,12.43797697,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/San_Marino,161
,,,SAU,1203,4,,,,28571770,24.24455089,45.13214217,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Riyadh,162
,,,SEN,130,0,,,,14668522,14.47449229,-14.37969133,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Dakar,163
,,,SRB,659,10,,,,7111024,44.20522468,20.91828861,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Belgrade,164
,,,SYC,8,0,,,,93920,-4.684261,55.46512857,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Indian/Mahe,165
,,,SGP,802,2,,,,5888926,1.358567613,103.8042098,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Singapore,166
,,,SVK,292,0,,,,5445829,48.67589305,19.69205855,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Bratislava,167
,,,SVN,684,9,,,,1972126,46.14379954,14.94028141,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Ljubljana,168
,,,SOM,3,0,,,,7531386,5.146407827,46.12904177,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Mogadishu,169
,,,ZAF,1187,1,,,,54841552,-28.46979258,24.69007409,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Johannesburg,170
,,,LKA,113,1,,,,22409381,7.876654365,80.82227624,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Colombo,171
,,,SDN,5,1,,,,37345935,15.34252047,30.2055109,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Khartoum,172
,,,SUR,8,0,,,,591919,3.922540271,-56.02702433,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Paramaribo,173
,,,SWE,3447,105,,,,9960487,62.1911852,17.63563073,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Stockholm,174
,,,CHE,14076,264,,,,8236303,46.84081126,8.258983806,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Zurich,175
,,,TWN,283,2,,,,23508428,23.59845612,120.9825952,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Taipei,176
,,,TZA,14,0,,,,53950935,-6.362582092,34.87894555,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Dar_es_Salaam,177
,,,THA,1245,6,,,,68414135,13.04083303,101.5445559,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Bangkok,178
,,,TGO,25,1,,,,7965055,8.617735497,0.808120769,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Lome,179
,,,TTO,74,3,,,,1218208,10.4515445,-61.33045407,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Port_of_Spain,180
,,,TUN,278,8,,,,11403800,33.78217031,9.521981649,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Tunis,181
,,,TUR,7402,108,,,,80845215,38.95576284,35.42547438,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Istanbul,182
,,,UGA,30,0,,,,39570125,1.375033468,32.26733748,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Kampala,183
,,,UKR,356,9,,,,44033874,48.79241852,31.13725142,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Kiev,184
,,,ARE,468,2,,,,6072475,24.34099706,53.97632897,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Dubai,185
,,Bermuda,GBR,17,0,,,,,32.30135134,-64.75903561,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Atlantic/Bermuda,186
,,Cayman Islands,GBR,8,1,,,,,19.3296086,-81.21929896,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,America/Cayman,187
,,Channel Islands,GBR,97,1,,,,,49.3723,-2.3644,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,,
